epoch,train_loss,val_loss,train_accuracy,val_accuracy
0,2.098811626434326,890.0526123046875,0.53125,0.5
1,1.3516340255737305,8709.1875,0.625,0.5
2,1.3655495643615723,33964.35546875,0.53125,0.5
3,1.1341203451156616,122.18917083740234,0.5625,0.5
4,0.9195601940155029,146.5538330078125,0.53125,0.5
5,0.842983603477478,0.9164310693740845,0.46875,0.5
6,0.7595664858818054,1.0936144590377808,0.59375,0.5
7,0.7927725315093994,0.9607543349266052,0.46875,0.5
8,0.557410478591919,1.9234964847564697,0.75,0.5
9,0.6810437440872192,2.3688535690307617,0.71875,0.5
10,0.5394364595413208,18.130672454833984,0.6875,0.5
